"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"24.03.2023","69,26","69,51","70,38","66,82","380,85K","-1,00%"
"23.03.2023","69,96","69,95","71,67","69,14","335,24K","-1,33%"
"22.03.2023","70,90","69,48","71,31","68,89","337,64K","2,26%"
"21.03.2023","69,33","67,62","69,60","66,77","26,35K","2,50%"
"20.03.2023","67,64","66,62","67,70","64,12","76,87K","1,35%"
"17.03.2023","66,74","68,26","69,64","65,17","152,26K","-2,36%"
"16.03.2023","68,35","68,22","69,38","65,71","327,12K","1,09%"
"15.03.2023","67,61","71,56","72,56","65,65","555,16K","-5,22%"
"14.03.2023","71,33","74,70","74,90","70,78","432,86K","-4,64%"
"13.03.2023","74,80","76,60","77,47","72,30","457,42K","-2,45%"
"10.03.2023","76,68","75,65","77,11","74,77","371,83K","1,27%"
"09.03.2023","75,72","76,50","78,06","75,43","349,96K","-1,23%"
"08.03.2023","76,66","77,32","77,73","76,11","335,93K","-1,19%"
"07.03.2023","77,58","80,50","80,94","77,06","398,24K","-3,58%"
"06.03.2023","80,46","79,92","80,63","78,32","292,35K","0,98%"
"03.03.2023","79,68","77,89","79,90","75,83","374,20K","1,94%"
"02.03.2023","78,16","77,74","78,59","77,23","260,33K","0,60%"
"01.03.2023","77,69","76,85","77,85","76,12","342,12K","0,83%"
"28.02.2023","77,05","75,76","77,83","75,55","300,09K","1,81%"
"27.02.2023","75,68","76,42","76,82","74,99","266,09K","-0,84%"
"24.02.2023","76,32","75,60","76,63","74,09","313,04K","1,23%"
"23.02.2023","75,39","73,92","75,99","73,83","333,84K","1,95%"
"22.02.2023","73,95","76,11","76,55","73,80","332,02K","-2,90%"
"21.02.2023","76,16","76,53","77,51","75,69","35,48K","-1,47%"
"20.02.2023","77,30","76,69","77,74","76,33","","0,82%"
"19.02.2023","76,67","76,69","76,82","76,53","","0,43%"
"17.02.2023","76,34","78,07","78,25","75,06","93,27K","-2,74%"
"16.02.2023","78,49","78,54","79,54","77,92","117,60K","-0,13%"
"15.02.2023","78,59","78,83","79,15","77,25","264,49K","-0,59%"
"14.02.2023","79,06","79,06","79,61","77,46","299,94K","-1,35%"
"13.02.2023","80,14","79,94","80,62","78,45","301,30K","0,53%"
"10.02.2023","79,72","77,68","80,33","77,47","356,06K","2,13%"
"09.02.2023","78,06","78,45","78,84","76,52","324,16K","-0,52%"
"08.02.2023","78,47","77,49","78,57","77,08","353,47K","1,72%"
"07.02.2023","77,14","74,57","77,60","74,35","408,28K","4,09%"
"06.02.2023","74,11","73,23","74,51","72,25","380,03K","0,98%"
"03.02.2023","73,39","75,92","78,00","73,10","413,41K","-3,28%"
"02.02.2023","75,88","76,79","77,24","74,97","339,76K","-0,69%"
"01.02.2023","76,41","79,06","79,73","76,05","360,86K","-3,12%"
"31.01.2023","78,87","77,91","79,25","76,55","312,73K","1,25%"
"30.01.2023","77,90","80,04","80,49","77,66","327,43K","-2,23%"
"27.01.2023","79,68","81,22","82,48","79,04","367,59K","-1,64%"
"26.01.2023","81,01","80,48","82,14","79,92","291,06K","1,07%"
"25.01.2023","80,15","80,26","81,23","79,45","297,23K","0,02%"
"24.01.2023","80,13","81,62","82,22","79,66","288,21K","-1,83%"
"23.01.2023","81,62","81,79","82,64","81,05","297,08K","-0,02%"
"20.01.2023","81,64","80,84","81,91","79,91","300,15K","1,28%"
"19.01.2023","80,61","79,43","81,49","78,45","321,13K","1,02%"
"18.01.2023","79,80","81,34","82,66","79,21","326,23K","-0,81%"
"17.01.2023","80,45","80,34","81,51","78,80","267,91K","1,78%"
"16.01.2023","79,04","79,78","79,92","78,80","","-0,93%"
"15.01.2023","79,78","80,17","80,19","79,78","","-0,41%"
"13.01.2023","80,11","78,58","80,37","78,23","189,32K","1,86%"
"12.01.2023","78,65","77,90","79,37","77,35","188,06K","1,25%"
"11.01.2023","77,68","75,06","78,06","74,56","179,83K","3,06%"
"10.01.2023","75,37","75,16","76,16","74,16","164,98K","0,60%"
"09.01.2023","74,92","73,87","76,97","73,79","154,20K","1,19%"
"06.01.2023","74,04","74,18","75,71","73,52","95,22K","0,16%"
"05.01.2023","73,92","73,51","75,15","72,74","112,45K","1,12%"
"04.01.2023","73,10","77,41","77,62","73,01","149,77K","-5,21%"
"03.01.2023","77,12","80,66","81,62","76,81","139,84K","-4,16%"
"02.01.2023","80,47","80,57","80,61","80,18","","0,00%"
"30.12.2022","80,47","78,59","80,57","77,72","","2,37%"
"29.12.2022","78,61","78,61","78,83","76,81","","0,01%"
"28.12.2022","78,60","79,75","79,88","77,33","","-1,47%"
"27.12.2022","79,77","80,97","81,17","79,17","","-1,48%"
"26.12.2022","80,97","79,92","81,06","79,92","","2,05%"
"23.12.2022","79,34","78,44","80,31","78,00","","1,13%"
